id,name,target_sentence_count,language,native_name,is_contributable,is_translated,text_direction,is_african,african_countries
29,cak,750,Kaqchikel,Kaqchikel,0,0,LTR,False,[]
30,cnh,5000,Hakha Chin,Laiholh (Hakha),1,1,LTR,False,[]
31,cs,5000,Czech,Čeština,1,1,LTR,False,[]
32,da,5000,Danish,Dansk,1,1,LTR,False,[]
33,dsb,750,"Sorbian, Lower",Dolnoserbšćina,1,1,LTR,False,[]
34,el,5000,Greek,Ελληνικά,1,1,LTR,False,[]
35,es,5000,Spanish,Español,1,1,LTR,False,[]
36,et,5000,Estonian,eesti,1,1,LTR,False,[]
37,eu,5000,Basque,Euskara,1,1,LTR,False,[]
38,fa,5000,Persian,فارسی,1,1,RTL,False,[]
39,fi,5000,Finnish,suomi,1,1,LTR,False,[]
40,fo,750,Faroese,Føroyskt,0,0,LTR,False,[]
41,fy-NL,5000,Frisian,Frysk,1,1,LTR,False,[]
42,he,5000,Hebrew,עברית,1,1,RTL,False,[]
43,hsb,5000,"Sorbian, Upper",Hornjoserbšćina,1,1,LTR,False,[]
44,hu,5000,Hungarian,Magyar,1,1,LTR,False,[]
45,ia,5000,Interlingua,Interlingua,1,1,LTR,False,[]
46,id,5000,Indonesian,Bahasa Indonesia,1,1,LTR,False,[]
47,is,2000,Icelandic,Íslenska,1,1,LTR,False,[]
48,ja,5000,Japanese,日本語,1,1,LTR,False,[]
49,ka,5000,Georgian,ქართული,1,1,LTR,False,[]
50,kk,5000,Kazakh,Қазақ тілі,1,1,LTR,False,[]
51,ko,5000,Korean,한국어,1,1,LTR,False,[]
52,kpv,750,Komi-Zyrian,Коми кыв,0,0,LTR,False,[]
53,kw,750,Cornish,Kernowek,1,1,LTR,False,[]
54,mdf,5000,Moksha,Мокшень кяль,1,1,LTR,False,[]
55,mk,5000,Macedonian,Македонски,1,1,LTR,False,[]
56,mn,5000,Mongolian,Монгол хэл,1,1,LTR,False,[]
57,myv,5000,Erzya,Эрзянь кель,1,1,LTR,False,[]
58,nb-NO,5000,Norwegian Bokmål,Norsk (bokmål),1,1,LTR,False,[]
59,ne-NP,750,Nepali,नेपाली,1,1,LTR,False,[]
60,nn-NO,5000,Norwegian Nynorsk,Norsk (nynorsk),1,1,LTR,False,[]
61,oc,750,Occitan,occitan,1,1,LTR,False,[]
62,or,5000,Odia,ଓଡ଼ିଆ,1,1,LTR,False,[]
63,pl,5000,Polish,polski,1,1,LTR,False,[]
64,pt,5000,Portuguese,Português,1,1,LTR,False,[]
65,rm-sursilv,5000,Romansh Sursilvan,romontsch sursilvan,1,1,LTR,False,[]
66,ro,5000,Romanian,Română,1,1,LTR,False,[]
67,ru,5000,Russian,Русский,1,1,LTR,False,[]
68,sah,5000,Sakha,Саха тыла,1,1,LTR,False,[]
69,sc,750,Sardinian,Sardu,1,1,LTR,False,[]
70,sk,5000,Slovak,Slovenčina,1,1,LTR,False,[]
71,sq,2000,Albanian,Shqip,1,1,LTR,False,[]
72,sr,5000,Serbian,Српски,1,1,LTR,False,[]
73,sv-SE,5000,Swedish,Svenska,1,1,LTR,False,[]
74,ta,5000,Tamil,தமிழ்,1,1,LTR,False,[]
75,te,2000,Telugu,తెలుగు,1,1,LTR,False,[]
76,th,5000,Thai,ไทย,1,1,LTR,False,[]
77,uk,5000,Ukrainian,Українська,1,1,LTR,False,[]
78,ur,5000,Urdu,اردو,1,1,RTL,False,[]
79,uz,5000,Uzbek,O‘zbek,1,1,LTR,False,[]
80,vi,5000,Vietnamese,Việt,1,1,LTR,False,[]
1841,af,2000,Afrikaans,Afrikaans,1,1,LTR,True,"['South Africa', 'Namibia']"
2570,ab,5000,Abkhaz,Аԥсшәа,1,1,LTR,False,[]
2571,ady,750,Adyghe,Адыгабзэ,1,1,LTR,False,[]
2572,am,2000,Amharic,አማርኛ,1,1,LTR,True,['Ethiopia']
2573,dv,5000,Dhivehi,ދިވެހި,1,1,RTL,False,[]
2574,mhr,750,Meadow Mari,Марий,1,1,LTR,False,[]
2575,mrj,750,Hill Mari,Кырык мары,1,1,LTR,False,[]
2576,uby,750,Ubykh,uby,0,0,LTR,False,[]
2577,udm,750,Udmurt,udm,0,0,LTR,False,[]
2578,vot,5000,Votic,vad̕d̕a,1,1,LTR,False,[]
9500,hr,2000,Croatian,Hrvatski,1,1,LTR,False,[]
9501,rw,5000,Kinyarwanda,Ikinyarwanda,1,1,LTR,True,"['Rwanda', 'Uganda', 'Democratic Republic of the Congo']"
13088,izh,750,Izhorian,izh,0,0,LTR,False,[]
13089,lt,5000,Lithuanian,Lietuvių,1,1,LTR,False,[]
17882,gl,5000,Galician,Galego,1,1,LTR,False,[]
17883,lv,5000,Latvian,Latviešu,1,1,LTR,False,[]
18650,lij,750,Ligurian,Ligure,1,1,LTR,False,[]
18651,tg,5000,Tajik,Тоҷикӣ,1,1,LTR,False,[]
19360,ba,5000,Bashkir,Башҡорт,1,1,LTR,False,[]
19361,ha,5000,Hausa,Hausa,1,1,LTR,True,"['Nigeria', 'Niger', 'Ghana', 'Cameroon']"
19362,ckb,5000,Central Kurdish,کوردیی ناوەندی,1,1,RTL,False,[]
19363,ml,5000,Malayalam,മലയാളം,1,1,LTR,False,[]
19364,si,2000,Sinhala,සිංහල,0,0,LTR,False,[]
22381,ff,750,Fulah,Pulaar-Fulfulde,0,0,LTR,False,[]
25111,rm-vallader,5000,Romansh Vallader,Rumantsch vallader,1,1,LTR,False,[]
25112,syr,750,Syriac,ܣܘܪܝܝܐ,0,0,RTL,False,[]
26262,mt,5000,Maltese,Malti,1,1,LTR,False,[]
26713,sw,5000,Swahili,Kiswahili,1,1,LTR,True,"['Tanzania', 'Kenya', 'Uganda', 'Rwanda', 'Burundi', 'Democratic Republic of the Congo']"
30189,arn,750,Mapudungun,Mapuzugun,0,0,LTR,False,[]
30190,be,5000,Belarusian,Беларуская,1,1,LTR,False,[]
30191,mg,750,Malagasy,mg,0,0,LTR,False,[]
30192,pa-IN,5000,Punjabi,ਪੰਜਾਬੀ,1,1,LTR,False,[]
32755,kbd,750,Kabardian,Адыгэбзэ (Къэбэрдей),1,1,LTR,False,[]
35968,lg,5000,Luganda,Luganda,1,1,LTR,True,['Uganda']
35969,my,2000,Burmese,ဗမာ,0,0,LTR,False,[]
35970,scn,750,Sicilian,Sicilianu,0,1,LTR,False,[]
36433,kaa,750,Karakalpak,Қарақалпақ,0,0,LTR,False,[]
36434,tl,2000,Tagalog,Tagalog,0,0,LTR,False,[]
36435,vec,750,Venetian,Vèneto,0,0,LTR,False,[]
37039,hy-AM,5000,Armenian,Հայերեն,1,1,LTR,False,[]
37389,hi,5000,Hindi,हिंदी,1,1,LTR,False,[]
39845,co,750,Corsican,Corsu,0,0,LTR,False,[]
39846,gn,5000,Guarani,Guarani,1,1,LTR,False,[]
39847,bm,750,Bambara,Bamanankan na,0,0,LTR,True,['Mali']
39848,kmr,5000,Kurmanji Kurdish,Kurdî (Kurmancî),1,1,LTR,False,[]
40059,bas,5000,Basaa,Basaa,1,1,LTR,False,[]
40060,yue,5000,Cantonese,粵語,1,1,LTR,False,[]
42022,ht,750,Haitian,Ayisyen,1,1,LTR,False,[]
42023,mai,750,Maithili,मैथिली,0,0,LTR,False,[]
42024,mos,750,Mooré,mos,0,0,LTR,False,[]
42025,mr,5000,Marathi,मराठी,1,1,LTR,False,[]
42026,ms,750,Malay,Bahasa Melayu,1,1,LTR,False,[]
42027,ps,750,Pashto,پښتو,1,1,RTL,False,[]
42028,shi,750,Tashlhiyt,shi,0,0,LTR,False,[]
42029,so,750,Somali,so,0,0,LTR,True,"['Somalia', 'Ethiopia', 'Djibouti', 'Kenya']"
42030,ug,5000,Uyghur,ئۇيغۇرچە,1,1,RTL,False,[]
42031,pap-AW,750,Papiamento (Aruba),pap-AW,0,0,LTR,False,[]
45327,nia,750,Nias,nia,0,0,LTR,False,[]
45565,tw,750,Twi,Twi,1,1,LTR,True,['Ghana']
45566,yo,2000,Yoruba,Yòrùbá,1,1,LTR,True,"['Nigeria', 'Benin', 'Togo']"
46047,nyn,750,Runyankole,nyn,0,0,LTR,False,[]
46291,ie,750,Interlingue,Interlingue,0,0,LTR,False,[]
46292,sat,5000,Santali (Ol Chiki),ᱥᱟᱱᱛᱟᱲᱤ (ᱚᱞ ᱪᱤᱠᱤ),1,1,LTR,False,[]
46538,ki,750,Kikuyu,ki,0,0,LTR,True,['Kenya']
46539,nan-tw,5000,Taiwanese (Minnan),台語,1,1,LTR,False,[]
47534,yi,750,Yiddish,אידיש,1,1,RTL,False,[]
49835,ig,5000,Igbo,Ásụ̀sụ́ Ìgbò,1,1,LTR,True,['Nigeria']
49836,ty,750,Tahitian,ty,0,0,LTR,False,[]
50092,quc,750,K'iche',quc,0,0,LTR,False,[]
50093,ti,750,Tigrinya,ትግርኛ,1,1,LTR,False,[]
52952,mni,750,Meetei Lon,ꯃꯤꯇꯩ ꯂꯣꯟ,0,1,LTR,False,[]
52953,tig,5000,Tigre,ትግረ,1,1,LTR,False,[]
53218,tk,2000,Turkmen,Türkmençe,1,1,LTR,False,[]
53754,quy,750,Quechua Chanka,Quechua Chanka,1,1,LTR,False,[]
54941,bs,2000,Bosnian,bs,0,0,LTR,False,[]
54942,gom,750,Konkani (Romi),Gõychi Konknni (Romi),0,0,LTR,False,[]
54943,km,750,Khmer,ខ្មែរ,1,1,LTR,False,[]
54944,knn,750,Konkani (Devanagari),knn,0,0,LTR,False,[]
56613,skr,750,Saraiki,سرائیکی,1,1,RTL,False,[]
56614,tok,5000,Toki Pona,toki pona,1,1,LTR,False,[]
57167,lb,750,Luxembourgish,lb,0,0,LTR,False,[]
75821,dyu,5000,Dioula,Dioula ye,1,1,LTR,False,[]
75822,nso,2000,Northern Sotho,Sesotho sa Leboa,1,1,LTR,False,[]
75823,om,2000,Afaan Oromo,Afaan Oromoo,1,1,LTR,False,[]
75824,st,2000,Southern Sotho,Sesotho sa Borwa,1,1,LTR,False,[]
75825,ts,750,Xitsonga,Xitsonga,1,1,LTR,False,[]
75826,ve,750,Tshivenda,Tshivenḓa,1,1,LTR,False,[]
75857,nd,2000,IsiNdebele (North),nd,0,0,LTR,False,[]
75858,nr,750,IsiNdebele (South),IsiNdebele (Sewula),1,1,LTR,False,[]
75859,ss,750,Siswati,Siswati,1,1,LTR,False,[]
75860,tn,750,Setswana,Setswana,1,1,LTR,False,[]
75861,xh,750,Xhosa,IsiXhosa,1,1,LTR,True,['South Africa']
75862,zu,750,Zulu,Zulu,1,1,LTR,True,['South Africa']
76378,hil,2000,Hiligaynon,hil,0,0,LTR,False,[]
76502,jbo,750,Lojban,jbo,0,0,LTR,False,[]
76503,kn,5000,Kannada,ಕನ್ನಡ,0,0,LTR,False,[]
76504,ln,2000,Lingala,ln,0,0,LTR,False,[]
76505,lo,5000,Lao,ພາສາລາວ,1,1,LTR,False,[]
76506,sdh,2000,Southern Kurdish,sdh,0,0,LTR,False,[]
76507,snk,2000,Soninke,snk,0,0,LTR,False,[]
76508,zgh,2000,Tamazight,ⵜⴰⵎⴰⵣⵉⵖⵜ,1,1,LTR,False,[]
77404,dag,750,Dagbani,Dagbanli,1,1,LTR,False,[]
77405,zza,5000,Zaza,Kurdkî (Zazakî),1,1,LTR,False,[]
77535,byv,750,Medumba,byv,1,1,LTR,False,[]
77925,tyv,750,Tuvan,Тыва дыл,0,0,LTR,False,[]
77926,wo,2000,Wolof,Wolof,0,1,LTR,True,"['Senegal', 'Gambia', 'Mauritania']"
78324,nhe,750,Eastern Huasteca Nahuatl,Náhuatl de la Huasteca Oriental,0,0,LTR,False,[]
78724,nhi,750,Western Sierra Puebla Nahuatl,nhi,1,1,LTR,False,[]
78917,bo,2000,Tibetan,bo,0,0,LTR,False,[]
78918,ny,5000,Chinyanja,ny,0,0,LTR,False,[]
81128,ltg,5000,Latgalian,Latgalīšu,1,1,LTR,False,[]
81129,os,750,Ossetian,Ирон,1,1,LTR,False,[]
81130,ewo,750,Ewondo,ewo,1,1,LTR,False,[]
81131,jv,5000,Javanese,basa jawa,0,1,LTR,False,[]
81132,gu-IN,5000,Gujarati,gu-IN,0,0,LTR,False,[]
81133,lzz,750,Laz,Lazuri,1,1,LTR,False,[]
81134,sco,750,Scots,sco,0,0,LTR,False,[]
81135,qvi,750,Kichwa,qvi,1,1,LTR,False,[]
81136,wep,750,Westphalian,wep,0,0,LTR,False,[]
81137,fuf,750,Pular Guinea,fuf,0,0,LTR,False,[]
81138,guc,750,Wayuunaiki,Wayuunaiki,0,0,LTR,False,[]
81139,sd,5000,Sindhi,sd,1,1,RTL,False,[]
81140,vmw,750,Emakhuwa,Emakhuwa,1,1,LTR,False,[]
81142,crh,750,Crimean Tatar,crh,0,0,LTR,False,[]
81143,dav,750,Kidaw'ida,dav,1,1,LTR,False,[]
81144,luo,750,Dholuo,luo,1,1,LTR,True,"['Kenya', 'Tanzania']"
81145,kln,750,Kalenjin,kln,1,1,LTR,True,['Kenya']
81146,azz,750,Highland Puebla Nahuatl,azz,0,0,LTR,False,[]
81147,bal,2000,Balochi,bal,0,0,RTL,False,[]
81148,gos,750,Gronings,gos,0,0,LTR,False,[]
81149,nqo,2000,NKo,nqo,0,0,RTL,False,[]
81150,cdo,5000,Eastern Min,cdo,0,1,LTR,False,[]
81151,dar,750,Dargwa,Дарган,1,1,LTR,False,[]
81152,shn,2000,Shan,shn,0,0,LTR,False,[]
81153,aa,2000,Afar,aa,0,0,LTR,False,[]
81154,abb,750,Bankon,Ɓàŋkón,1,1,LTR,False,[]
81155,bax,750,Bamun,Shüpamom,1,1,LTR,False,[]
81156,bba,750,Baatonum,Baatɔnum,1,1,LTR,False,[]
81157,bbj,750,Ghomala,bbj,1,1,LTR,False,[]
81158,bci,750,Baoule,bci,1,1,LTR,False,[]
81159,beb,750,Bamvele,beb,1,1,LTR,False,[]
81160,bfd,750,Bafut,bfd,1,1,LTR,False,[]
81161,bkm,750,Kom,bkm,1,1,LTR,False,[]
81162,bnm,750,Batanga,bnm,1,1,LTR,False,[]
81163,bri,750,Mokpwe,bri,1,1,LTR,False,[]
81164,bum,750,Bulu,bum,1,1,LTR,False,[]
81165,dua,750,Duala,dua,1,1,LTR,False,[]
81166,ebr,750,Ebrie,ebr,1,1,LTR,False,[]
81167,eto,750,Eton,eto,1,1,LTR,False,[]
81168,fan,750,Fang,fan,1,1,LTR,False,[]
81169,fue,750,Borgu Fulfulde,fue,1,1,LTR,False,[]
81170,gya,750,Northwest Gbaya,gya,1,1,LTR,False,[]
81171,ibb,750,Ibibio,ibb,1,1,LTR,False,[]
81172,ksf,750,Bafia,ksf,1,1,LTR,False,[]
81173,mbo,750,Mbo,mbo,1,1,LTR,False,[]
81174,mxu,750,Mada,mxu,1,1,LTR,False,[]
81175,nnh,750,Ngiembon,nnh,1,1,LTR,False,[]
81176,qxp,750,Puno Quechua,Punu qhichwa,1,1,LTR,False,[]
81177,rif,2000,Tarifit,rif,0,0,LTR,False,[]
81178,teg,750,Teke,teg,0,0,LTR,False,[]
81179,tui,750,Tupuri,t'pur,1,1,LTR,False,[]
81180,tvu,750,Tunen,tvu,1,1,LTR,False,[]
81181,wes,750,Cameroon Pidgin,wes,1,1,LTR,False,[]
81182,ee,2000,Ewe,ee,0,1,LTR,False,[]
81183,fub,750,Adamawa Fulfulde,fub,1,1,LTR,False,[]
81184,pcm,750,Nigerian Pidgin English,pcm,1,1,LTR,False,[]
81185,pap,750,Papiamento,pap,0,0,LTR,False,[]
81186,bbl,750,Tush,ვაჲღეჼ,1,1,LTR,False,[]
81187,bft,750,Balti,بلتی,1,1,RTL,False,[]
81188,bgp,750,Eastern Balochi,بلوچی,1,1,RTL,False,[]
81189,bsk,750,Brushaski,Mishaski,1,1,LTR,False,[]
81190,cut,750,Teutila Cuicatec,Dbaku,1,1,LTR,False,[]
81191,cux,750,Tepeuxila Cuicatec,cux,1,1,LTR,False,[]
81192,hno,750,Northern Hindko,شمالی ہندکو,1,1,RTL,False,[]
81193,khw,750,Khowar,کھوار,1,1,RTL,False,[]
81194,kls,750,Kalasha,Kalasha,1,1,LTR,False,[]
81195,mau,750,Huautla Mazatec,mau,1,1,LTR,False,[]
81196,mqh,750,Tlazoyaltepec Mixtec,mqh,0,0,LTR,False,[]
81197,ncx,750,Central Puebla Nahuatl,Nahuat,1,1,LTR,False,[]
81198,pua,750,Western Highland Purepecha,pua,1,1,LTR,False,[]
81199,scl,750,Shina,شِینا,1,1,RTL,False,[]
81200,sei,750,Seri,sei,1,1,LTR,False,[]
81201,sva,750,Svan,ლუშნუ,1,1,LTR,False,[]
81202,trw,750,Torwali,توروالی,1,1,RTL,False,[]
81203,var,750,Huarijio,Makurawe,1,1,LTR,False,[]
81204,xhe,750,Khetrani,کھیترانی,1,1,RTL,False,[]
81205,xmf,750,Mingrelian,მარგალური,1,1,LTR,False,[]
81206,yaq,750,Yaqui,Jiak noki,1,1,LTR,False,[]
81207,zoc,750,Copainalá Zoque,zoc,1,1,LTR,False,[]
81208,esu,750,Central Alaskan Yup’ik,esu,1,1,LTR,False,[]
81209,gv,750,Manx,gv,1,1,LTR,False,[]
81210,leu,750,Kara,leu,0,0,LTR,False,[]
81211,qup,750,Southern Pastaza Quechua,qup,1,1,LTR,False,[]
81212,szy,750,Sakizaya,Sakizaya,1,1,LTR,False,[]
81213,dml,750,Dameli,dml,1,1,RTL,False,[]
81214,oru,750,Ormuri,اُرمړي,1,1,RTL,False,[]
81215,phl,750,Palula,پالولا,1,1,RTL,False,[]
81216,ipk,750,Iñupiaq,ipk,1,1,LTR,False,[]
81217,bew,750,Betawi,bew,0,0,LTR,False,[]
81218,top,750,Papantla Totonac,top,0,0,LTR,False,[]
81219,aat,750,Arvanitika,aat,0,0,LTR,False,[]
81220,aln,750,Gheg Albanian,aln,0,0,LTR,False,[]
81221,hac,750,Gorani,hac,0,0,RTL,False,[]
81222,tob,750,Toba Qom,tob,0,0,LTR,False,[]
81223,bnn,750,Bunun,Bunun,1,1,LTR,False,[]
81224,dru,750,Rukai,Drekay,1,1,LTR,False,[]
81225,pwn,750,Paiwan,pwn,1,1,LTR,False,[]
81226,tay,750,Atayal,Atayal,1,1,LTR,False,[]
81227,trv,750,Seediq,trv,1,1,LTR,False,[]
81228,qxu,750,Quechua Arequipa-La Unión,qxu,1,1,LTR,False,[]
81229,hch,750,Wixárika,hch,0,0,LTR,False,[]
81230,meh,750,Mixteco Yucuhiti,meh,0,0,LTR,False,[]
81231,mmc,750,Michoacán Mazahua,Jñatjo,0,0,LTR,False,[]
81232,jqr,5000,Jaqaru,jqr,1,1,LTR,False,[]
81233,lke,2000,Kenyi,lke,0,0,LTR,False,[]
81234,lth,2000,Thur,lth,0,0,LTR,False,[]
81235,qux,5000,Quechua Yauyos,qux,1,1,LTR,False,[]
81236,qva,5000,Quechua Ambo-Pasco,qva,1,1,LTR,False,[]
81237,qvl,5000,Quechua Cajatambo,qvl,1,1,LTR,False,[]
81238,qwa,5000,Quechua Corongo Ancash,qwa,1,1,LTR,False,[]
81239,qws,5000,Quechua Sihuas Ancash,qws,1,1,LTR,False,[]
81240,qxa,5000,Quechua Chiquián,qxa,1,1,LTR,False,[]
81241,qxt,5000,Quechua Pasco Santa Ana de Tusi,qxt,1,1,LTR,False,[]
81242,qxw,5000,Quechua Jauja Wanka,qxw,1,1,LTR,False,[]
81243,ruc,750,Ruuli,ruc,0,0,LTR,False,[]
81244,ukv,750,Kuku,ukv,0,0,LTR,False,[]
81245,bsh,5000,Kateviri,کتہ وری,1,1,RTL,False,[]
81246,dmk,5000,Dawoodi,داوُدِݵ,1,1,RTL,False,[]
81247,gju,5000,Gujari,گوجری,1,1,RTL,False,[]
81248,gwc,5000,Gawri,گاؤری,1,1,RTL,False,[]
81249,gwt,5000,Gawarbaiti,گوَرباتی,1,1,RTL,False,[]
81250,kcn,750,Nubi,kcn,0,0,LTR,False,[]
81251,lss,5000,Lassi,لاسي,1,1,RTL,False,[]
81252,mvy,5000,Indus Kohistani,اباسیْن کوستَیں,1,1,RTL,False,[]
81253,plk,5000,Kohistani Shina,کوہستانی شینا,1,1,RTL,False,[]
81254,ush,5000,Ushojo,ush,1,1,RTL,False,[]
81255,wbl,5000,Wakhi,Wakhi (Wuk̃hikwor),1,1,LTR,False,[]
81256,xka,5000,Kalkoti,کلکوٹی,1,1,RTL,False,[]
81257,gsw,5000,Alsatian,Elsassisch,1,1,LTR,False,[]
81258,krc,750,Karachay-Balkar,krc,0,0,LTR,False,[]
81259,rup,5000,Aromanian,rup,1,1,LTR,False,[]
81260,din,2000,Dinka,din,0,0,LTR,False,[]
81261,hrx,2000,Hunsrik,hrx,0,0,LTR,False,[]
81262,kam,2000,Kikamba,kam,0,0,LTR,False,[]
81263,ks,2000,Kashmiri,ks,0,0,RTL,False,[]
81264,lld,750,Ladin,lld,0,0,LTR,False,[]
81265,new,2000,Newari,new,0,0,LTR,False,[]
81266,rn,5000,Kirundi,rn,0,0,LTR,False,[]
81267,lrl,750,Achomi,lrl,0,0,RTL,False,[]
81268,btv,750,Bateri,btv,1,1,RTL,False,[]
81269,ggg,750,Gurgula,ggg,1,1,RTL,False,[]
81270,gig,750,Goaria,gig,1,1,RTL,False,[]
81271,gjk,750,Kachhi,gjk,1,1,RTL,False,[]
81272,kvx,750,Parkari Koli,kvx,1,1,RTL,False,[]
81273,kxp,750,Wadiyara Koli,kxp,1,1,RTL,False,[]
81274,lrk,750,Loarki,lrk,1,1,RTL,False,[]
81275,mki,750,Dhatki,mki,1,1,RTL,False,[]
81276,mve,750,Marwari,mve,1,1,RTL,False,[]
81277,odk,750,Oadki,odk,1,1,RTL,False,[]
81278,phr,750,Pahari-Pothwari,phr,1,1,RTL,False,[]
81279,sbn,750,Sindhi Bhil,sbn,1,1,RTL,False,[]
81280,ssi,750,Sansi,ssi,1,1,RTL,False,[]
81281,ydg,750,Yadgha,ydg,1,1,RTL,False,[]
81282,bag,750,Tuki,Tukí,1,1,LTR,False,[]
81283,ajg,750,Adja,ajg,1,1,LTR,False,[]
81284,bkh,750,Bakoko,bkh,1,1,LTR,False,[]
81285,bxk,750,Bukusu,bxk,0,0,LTR,False,[]
81286,cgg,750,Chiga,cgg,0,0,LTR,False,[]
81287,cjk,750,Chokwe,cjk,1,1,LTR,False,[]
81288,cpy,750,Asheninka South Ucayali,cpy,1,1,LTR,False,[]
81289,fmp,750,Fe’efe’e,fmp,1,1,LTR,False,[]
81290,gej,750,Mina,gej,1,1,LTR,False,[]
81291,gid,750,Guidar,gid,1,1,LTR,False,[]
81292,giz,750,Guiziga,giz,1,1,LTR,False,[]
81293,hem,750,Kihemba,hem,1,1,LTR,False,[]
81294,hux,750,Nüpode Huitoto,hux,1,1,LTR,False,[]
81295,jgo,750,Ngomba,jgo,1,1,LTR,False,[]
81296,kdh,750,Kotokoli,kdh,1,1,LTR,False,[]
81297,koo,750,Konzo,koo,0,0,LTR,False,[]
81298,lua,750,Tshiluba,lua,1,1,LTR,False,[]
81299,mcf,750,Matses,mcf,1,1,LTR,False,[]
81300,mcn,750,Massa,mcn,1,1,LTR,False,[]
81301,mcx,750,Mpiemo,mcx,1,1,LTR,False,[]
81302,mdd,750,Mbum,mdd,1,1,LTR,False,[]
81303,mgg,750,Kunabembe,mgg,1,1,LTR,False,[]
81304,mhk,750,Mungaka,mhk,1,1,LTR,False,[]
81305,mse,750,Moussey,mse,1,1,LTR,False,[]
81306,mua,750,Mundang,mua,1,1,LTR,False,[]
81307,mug,750,Musgum,mug,1,1,LTR,False,[]
81308,nla,750,Ngombale,nla,1,1,LTR,False,[]
81309,nmz,750,Losso,nmz,1,1,LTR,False,[]
81310,prq,750,Asheninka Perene,prq,1,1,LTR,False,[]
81311,qug,750,Quichua Chimborazo Highland,qug,0,1,LTR,False,[]
81312,qur,750,Quechua Yanahuanca,qur,1,1,LTR,False,[]
81313,qus,750,Quechua Santiago del Estero,qus,1,1,LTR,False,[]
81314,rof,750,Kirombo,rof,1,1,LTR,False,[]
81315,rwm,750,Amba,rwm,0,0,LTR,False,[]
81316,tar,750,Central Tarahumara,Rarámuri,1,1,LTR,False,[]
81317,tli,750,Tlingit,tli,1,1,LTR,False,[]
81318,ttj,750,Rutoro,ttj,0,0,LTR,False,[]
81319,udl,750,Ouldémé,udl,1,1,LTR,False,[]
81320,yav,750,Nuasue,yav,1,1,LTR,False,[]
81321,nlv,5000,Orizaba Nahuatl,Nauatl,1,1,LTR,False,[]
81322,iba,750,Iban,iba,0,0,LTR,False,[]
81323,jam,2000,Jamaican Patois,jam,0,0,LTR,False,[]
81324,brh,5000,Brahui,براہوئی,1,1,RTL,False,[]
81325,eko,5000,Ekoti,eko,1,1,LTR,False,[]
81326,haz,5000,Hazargi,haz,1,1,RTL,False,[]
81327,led,750,Lendu,led,0,0,LTR,False,[]
81328,nmg,5000,Kwasio,nmg,1,1,LTR,False,[]
81329,nyu,5000,Nyungwe,nyu,1,1,LTR,False,[]
81330,qvj,5000,Loja Highland Kichwa,qvj,1,1,LTR,False,[]
81331,sn,5000,Shona,sn,0,0,LTR,True,['Zimbabwe']
81332,bce,5000,Mengambo,bce,1,1,LTR,False,[]
81333,brx,2000,Bodo,brx,0,0,LTR,False,[]
81334,mrh,750,Mara,mrh,0,0,LTR,False,[]
81335,abq,750,Abaza,abq,1,1,LTR,False,[]
81336,gaa,750,Ga,gaa,0,1,LTR,False,[]
81337,mfe,750,Kreol Morisien,mfe,0,0,LTR,False,[]
81338,xsm,750,Kasem,xsm,0,0,LTR,False,[]
81339,qxq,750,Qashqai,qxq,0,0,RTL,False,[]
81340,xdq,750,Kaitag,xdq,0,0,LTR,False,[]
81341,mbf,750,Baba Malay,mbf,0,0,LTR,False,[]
81342,pcd,750,Picard,pcd,0,0,LTR,False,[]
